TACC:  Starting up job 11435098 
TACC:  Starting parallel tasks... 
Running problem size 40^3 per domain until completion
Num processors: 512
Num threads: 32
Total number of elements: 32768000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 345, time = 3.598895e-06, dt=1.752506e-08
cycle = 346, time = 3.616420e-06, dt=1.752506e-08
cycle = 347, time = 3.633945e-06, dt=1.752506e-08
cycle = 348, time = 3.653491e-06, dt=1.954562e-08
cycle = 349, time = 3.673036e-06, dt=1.954562e-08
cycle = 350, time = 3.692582e-06, dt=1.954562e-08
cycle = 351, time = 3.712127e-06, dt=1.954562e-08
cycle = 352, time = 3.731673e-06, dt=1.954562e-08
cycle = 353, time = 3.751219e-06, dt=1.954562e-08
cycle = 354, time = 3.772850e-06, dt=2.163093e-08
cycle = 355, time = 3.794480e-06, dt=2.163093e-08
cycle = 356, time = 3.816111e-06, dt=2.163093e-08
cycle = 357, time = 3.837742e-06, dt=2.163093e-08
cycle = 358, time = 3.859373e-06, dt=2.163093e-08
cycle = 359, time = 3.881004e-06, dt=2.163093e-08
cycle = 360, time = 3.902635e-06, dt=2.163093e-08
cycle = 361, time = 3.924266e-06, dt=2.163093e-08
cycle = 362, time = 3.945897e-06, dt=2.163093e-08
cycle = 363, time = 3.967528e-06, dt=2.163093e-08
cycle = 364, time = 3.989159e-06, dt=2.163093e-08
cycle = 365, time = 4.010790e-06, dt=2.163093e-08
cycle = 366, time = 4.032421e-06, dt=2.163093e-08
cycle = 367, time = 4.054052e-06, dt=2.163093e-08
cycle = 368, time = 4.075683e-06, dt=2.163093e-08
cycle = 369, time = 4.097313e-06, dt=2.163093e-08
cycle = 370, time = 4.118944e-06, dt=2.163093e-08
cycle = 371, time = 4.140575e-06, dt=2.163093e-08
cycle = 372, time = 4.162206e-06, dt=2.163093e-08
cycle = 373, time = 4.183837e-06, dt=2.163093e-08
cycle = 374, time = 4.205468e-06, dt=2.163093e-08
cycle = 375, time = 4.227099e-06, dt=2.163093e-08
cycle = 376, time = 4.248730e-06, dt=2.163093e-08
cycle = 377, time = 4.270361e-06, dt=2.163093e-08
cycle = 378, time = 4.291992e-06, dt=2.163093e-08
cycle = 379, time = 4.313623e-06, dt=2.163093e-08
cycle = 380, time = 4.335254e-06, dt=2.163093e-08
cycle = 381, time = 4.356885e-06, dt=2.163093e-08
cycle = 382, time = 4.378515e-06, dt=2.163093e-08
cycle = 383, time = 4.400146e-06, dt=2.163093e-08
cycle = 384, time = 4.421540e-06, dt=2.139405e-08
cycle = 385, time = 4.442683e-06, dt=2.114237e-08
cycle = 386, time = 4.463619e-06, dt=2.093642e-08
cycle = 387, time = 4.484402e-06, dt=2.078325e-08
cycle = 388, time = 4.505097e-06, dt=2.069498e-08
cycle = 389, time = 4.525782e-06, dt=2.068419e-08
cycle = 390, time = 4.546466e-06, dt=2.068419e-08
cycle = 391, time = 4.567150e-06, dt=2.068419e-08
cycle = 392, time = 4.587834e-06, dt=2.068419e-08
cycle = 393, time = 4.608518e-06, dt=2.068419e-08
cycle = 394, time = 4.629203e-06, dt=2.068419e-08
cycle = 395, time = 4.649887e-06, dt=2.068419e-08
cycle = 396, time = 4.672822e-06, dt=2.293497e-08
cycle = 397, time = 4.695757e-06, dt=2.293497e-08
cycle = 398, time = 4.718692e-06, dt=2.293497e-08
cycle = 399, time = 4.741627e-06, dt=2.293497e-08
cycle = 400, time = 4.764562e-06, dt=2.293497e-08
cycle = 401, time = 4.789827e-06, dt=2.526579e-08
cycle = 402, time = 4.815093e-06, dt=2.526579e-08
cycle = 403, time = 4.840359e-06, dt=2.526579e-08
cycle = 404, time = 4.865625e-06, dt=2.526579e-08
cycle = 405, time = 4.890891e-06, dt=2.526579e-08
cycle = 406, time = 4.916156e-06, dt=2.526579e-08
cycle = 407, time = 4.941422e-06, dt=2.526579e-08
cycle = 408, time = 4.966688e-06, dt=2.526579e-08
cycle = 409, time = 4.991954e-06, dt=2.526579e-08
cycle = 410, time = 5.017220e-06, dt=2.526579e-08
cycle = 411, time = 5.042485e-06, dt=2.526579e-08
cycle = 412, time = 5.067751e-06, dt=2.526579e-08
cycle = 413, time = 5.092956e-06, dt=2.520452e-08
cycle = 414, time = 5.118160e-06, dt=2.520452e-08
cycle = 415, time = 5.143365e-06, dt=2.520452e-08
cycle = 416, time = 5.168569e-06, dt=2.520452e-08
cycle = 417, time = 5.193774e-06, dt=2.520452e-08
cycle = 418, time = 5.218978e-06, dt=2.520452e-08
cycle = 419, time = 5.244183e-06, dt=2.520452e-08
cycle = 420, time = 5.269387e-06, dt=2.520452e-08
cycle = 421, time = 5.294592e-06, dt=2.520452e-08
cycle = 422, time = 5.319796e-06, dt=2.520452e-08
cycle = 423, time = 5.345001e-06, dt=2.520452e-08
cycle = 424, time = 5.370205e-06, dt=2.520452e-08
cycle = 425, time = 5.395410e-06, dt=2.520452e-08
cycle = 426, time = 5.420614e-06, dt=2.520452e-08
cycle = 427, time = 5.445819e-06, dt=2.520452e-08
cycle = 428, time = 5.470612e-06, dt=2.479355e-08
cycle = 429, time = 5.495021e-06, dt=2.440889e-08
cycle = 430, time = 5.519097e-06, dt=2.407567e-08
cycle = 431, time = 5.542890e-06, dt=2.379317e-08
cycle = 432, time = 5.566451e-06, dt=2.356085e-08
cycle = 433, time = 5.589842e-06, dt=2.339063e-08
cycle = 434, time = 5.613138e-06, dt=2.329650e-08
cycle = 435, time = 5.636428e-06, dt=2.328986e-08
cycle = 436, time = 5.659718e-06, dt=2.328986e-08
cycle = 437, time = 5.683008e-06, dt=2.328986e-08
cycle = 438, time = 5.706298e-06, dt=2.328986e-08
cycle = 439, time = 5.729587e-06, dt=2.328986e-08
cycle = 440, time = 5.752877e-06, dt=2.328986e-08
cycle = 441, time = 5.776167e-06, dt=2.328986e-08
cycle = 442, time = 5.801877e-06, dt=2.571034e-08
cycle = 443, time = 5.827588e-06, dt=2.571034e-08
cycle = 444, time = 5.853298e-06, dt=2.571034e-08
cycle = 445, time = 5.879008e-06, dt=2.571034e-08
cycle = 446, time = 5.904719e-06, dt=2.571034e-08
cycle = 447, time = 5.930429e-06, dt=2.571034e-08
cycle = 448, time = 5.956139e-06, dt=2.571034e-08
cycle = 449, time = 5.981850e-06, dt=2.571034e-08
cycle = 450, time = 6.010295e-06, dt=2.844523e-08
cycle = 451, time = 6.038740e-06, dt=2.844523e-08
cycle = 452, time = 6.067186e-06, dt=2.844523e-08
cycle = 453, time = 6.095631e-06, dt=2.844523e-08
cycle = 454, time = 6.123978e-06, dt=2.834723e-08
cycle = 455, time = 6.152005e-06, dt=2.802718e-08
cycle = 456, time = 6.179803e-06, dt=2.779834e-08
